GENESIS-Tabelle: 12613-0013
Gestorbene: Bundesländer, Monate, Geschlecht;;;;
Statistik der Sterbefälle;;;;
Gestorbene (Anzahl);;;;
;;Berlin;Berlin;Berlin
;;männlich;weiblich;Insgesamt
1990;Januar;1968;3113;5081
1990;Februar;1424;2277;3701
1990;März;1468;2181;3649
1990;April;1446;2104;3550
1990;Mai;1404;2104;3508
1990;Juni;1339;1903;3242
1990;Juli;1433;2017;3450
1990;August;1351;1945;3296
1990;September;1447;2147;3594
1990;Oktober;1460;2061;3521
1990;November;1438;2116;3554
1990;Dezember;1624;2296;3920
1991;Januar;1554;2332;3886
1991;Februar;1488;2295;3783
1991;März;1557;2267;3824
1991;April;1421;2056;3477
1991;Mai;1509;2236;3745
1991;Juni;1429;2037;3466
1991;Juli;1459;2123;3582
1991;August;1382;1954;3336
1991;September;1422;1916;3338
1991;Oktober;1460;2085;3545
1991;November;1510;2151;3661
1991;Dezember;1653;2358;4011
1992;Januar;1587;2263;3850
1992;Februar;1489;2126;3615
1992;März;1534;2206;3740
1992;April;1471;2062;3533
1992;Mai;1461;2042;3503
1992;Juni;1372;1918;3290
1992;Juli;1393;1864;3257
1992;August;1399;1933;3332
1992;September;1362;1911;3273
1992;Oktober;1510;2085;3595
1992;November;1422;2030;3452
1992;Dezember;1426;2138;3564
1993;Januar;1605;2248;3853
1993;Februar;1429;2106;3535
1993;März;1607;2453;4060
1993;April;1425;2086;3511
1993;Mai;1334;1823;3157
1993;Juni;1328;1770;3098
1993;Juli;1399;1860;3259
1993;August;1256;1780;3036
1993;September;1396;1845;3241
1993;Oktober;1433;1900;3333
1993;November;1488;1992;3480
1993;Dezember;1546;2164;3710
1994;Januar;1530;2188;3718
1994;Februar;1361;1973;3334
1994;März;1471;2056;3527
1994;April;1371;1909;3280
1994;Mai;1402;1800;3202
1994;Juni;1318;1820;3138
1994;Juli;1520;2229;3749
1994;August;1418;2234;3652
1994;September;1341;1793;3134
1994;Oktober;1460;1926;3386
1994;November;1379;1837;3216
1994;Dezember;1417;1985;3402
1995;Januar;1479;2063;3542
1995;Februar;1253;1818;3071
1995;März;1535;2056;3591
1995;April;1489;2104;3593
1995;Mai;1345;1812;3157
1995;Juni;1169;1643;2812
1995;Juli;1339;1819;3158
1995;August;1303;1699;3002
1995;September;1298;1734;3032
1995;Oktober;1328;1861;3189
1995;November;1357;1843;3200
1995;Dezember;1657;2241;3898
1996;Januar;1616;2626;4242
